Position (mm),Power (mW)
20.0,28.0
19.5,27.0
19.0,27.0
18.5,27.0
18.0,27.0
17.5,19.0
17.0,1.0
16.5,0.0
16.0,0.0
15.5,0.0
15.0,0.0
14.5,0.0
14.0,0.0
13.5,0.0
13.0,0.0
12.5,0.0
12.0,0.0
11.5,0.0
11.0,0.0
10.5,0.0
10.0,0.0
