Position (mm),Power (mW)
7.0,29.3
6.75,29.4
6.5,29.0
6.25,28.4
6.0,27.7
5.75,25.7
5.5,22.1
5.25,16.7
5.0,11.5
4.75,6.65
4.5,3.3
4.25,1.5
4.0,0.8
3.75,0.5
3.5,0.3
3.25,0.2
3.0,0.1
2.75,0.1
2.5,0.1
2.25,0.1
2.0,0.1
