Position (mm),Power (mW)
0.0,0.5
0.25,0.5
0.5,0.9
0.75,0.8
1.0,0.9
1.25,0.9
1.5,1.0
1.75,1.0
2.0,1.0
2.25,1.0
2.5,1.0
2.75,1.7
3.0,2.0
3.25,2.0
3.5,2.5
3.75,5.0
4.0,19.0
