Position (mm),Power (mW)
12.0,0.183
12.5,0.183
13.0,0.18
13.5,0.18
14.0,0.18
14.5,0.177
15.0,0.167
15.5,0.151
16.0,0.118
16.5,0.075
17.0,0.037
17.5,0.016
18.0,0.006
18.5,0.002
19.0,0.001
