Position (mm),Power (mW)
15.0,71.0
14.5,71.0
14.0,70.0
13.5,53.0
13.0,2.6
12.5,0.5
12.0,0.2
11.5,0.1
11.0,0.1
10.5,0.1
10.0,0.1
