Position (mm),Power (mW)
14.0,0.45
14.5,0.15
15.0,0.09
15.5,0.21
16.0,0.59
16.5,1.48
17.0,3.39
17.5,6.96
18.0,12.23
18.5,20.0
19.0,30.8
19.5,41.3
20.0,49.0
20.5,54.0
21.0,57.4
21.5,59.3
22.0,60.3
22.5,60.7
23.0,60.9
