Position (mm),Power (mW)
2.0,1.0
2.25,2.0
2.5,3.0
2.75,4.0
3.0,5.0
3.25,6.0
3.5,7.0
3.75,8.0
4.0,6.0
4.25,6.0
4.5,5.0
4.75,4.0
5.0,4.0
5.25,3.0
5.5,2.0
5.75,2.0
6.0,3.0
