Position (mm),Power (mW)
15.0,0.04
15.5,0.11
16.0,0.21
16.5,0.35
17.0,0.7
17.5,1.56
18.0,3.4
18.5,6.8
19.0,11.1
19.5,15.1
20.0,17.7
20.5,19.2
21.0,19.6
21.5,20.0
22.0,20.0
