Position (mm),Power (mW)
12.0,0.2
12.25,0.3
12.5,0.5
12.75,0.9
13.0,2.6
13.25,18.2
13.5,51.3
13.75,66.0
14.0,67.3
14.25,67.8
14.5,67.8
14.75,68.0
15.0,68.3
