Position (mm),Power (mW)
2.0,0.3
2.25,0.3
2.5,0.8
2.75,1.0
3.0,1.4
3.25,1.4
3.5,3.2
3.75,24.3
4.0,56.0
4.25,82.4
4.5,101.7
4.75,112.4
5.0,118.6
5.25,119.7
5.5,122.2
5.75,122.1
6.0,122.8
