Position (mm),Power (mW)
15.0,65.0
14.5,65.0
14.0,65.0
13.5,63.0
13.0,60.0
12.5,53.0
12.0,43.0
11.5,29.0
11.0,16.0
10.5,7.0
10.0,3.0
