Position (mm),Power (mW)
0.0,0.3
0.5,0.4
1.0,0.5
1.5,0.4
2.0,1.0
2.5,2.0
3.0,8.0
3.5,26.0
4.0,61.0
4.5,100.0
5.0,117.0
5.5,121.0
6.0,121.0
6.5,121.0
7.0,122.0
