Position (mm),Power (mW)
22.0,39.0
21.5,39.4
21.0,39.3
20.5,37.7
20.0,34.5
19.5,30.0
19.0,21.9
18.5,13.8
18.0,7.3
17.5,3.6
17.0,1.9
16.5,1.25
16.0,0.99
15.5,0.81
15.0,0.71
