Position (mm),Power (mW)
23.0,71.0
22.5,63.6
22.0,48.3
21.5,47.2
21.0,48.0
20.5,48.0
20.0,41.0
19.5,5.0
19.0,0.9
18.5,0.7
18.0,0.8
