Position (mm),Power (mW)
2.0,0.5
2.25,1.2
2.5,3.9
2.75,6.5
3.0,12.0
3.25,20.0
3.5,33.0
3.75,50.0
4.0,68.0
4.25,85.0
4.5,100.0
4.75,112.0
5.0,117.0
5.25,121.0
5.5,123.0
5.75,123.0
6.0,123.0
