Position (mm),Power (mW)
2.0,1.0
2.25,1.2
2.5,1.4
2.75,1.4
3.0,1.4
3.25,1.5
3.5,1.7
3.75,1.8
4.0,2.1
4.25,2.5
4.5,10.7
4.75,40.2
5.0,75.0
5.25,107.0
5.5,119.1
5.75,120.5
6.0,122.0
