Position (mm),Power (mW)
6.0,0.11
6.25,0.17
6.5,0.35
6.75,0.67
7.0,1.32
7.25,2.72
7.5,5.3
7.75,9.1
8.0,13.5
8.25,17.7
8.5,21.0
8.75,23.0
9.0,23.8
9.25,24.0
9.5,24.2
9.75,24.1
10.0,24.3
10.25,24.3
10.5,24.3
10.75,24.2
11.0,24.3
