Position (mm),Power (mW)
11.0,9.3
10.5,9.2
10.0,9.2
9.5,9.1
9.0,8.7
8.5,7.8
8.0,5.9
7.5,2.8
7.0,0.45
6.5,0.08
6.0,0.01
