Position (mm),Power (mW)
11.0,0.79
11.5,1.03
12.0,1.6
12.5,2.8
13.0,5.1
13.5,9.2
14.0,15.2
14.5,23.3
15.0,31.3
15.5,37.8
16.0,41.9
16.5,43.5
17.0,43.8
17.5,43.2
18.0,42.3
18.5,42.8
19.0,42.5
19.5,43.0
20.0,42.8
20.5,43.1
21.0,42.7
