Position (mm),Power (mW)
2.0,0.4
2.25,1.0
2.5,1.0
2.75,1.0
3.0,1.0
3.25,2.5
3.5,7.5
3.75,21.8
4.0,49.0
4.25,85.3
4.5,118.4
4.75,119.0
5.0,120.0
5.25,120.0
5.5,120.0
5.75,120.0
6.0,120.0
