Position (mm),Power (mW)
9.0,0.7
9.5,1.2
10.0,2.9
10.5,7.4
11.0,16.4
11.5,29.5
12.0,42.8
12.5,53.6
13.0,60.1
13.5,63.3
14.0,64.4
