Position (mm),Power (mW)
2.0,0.7
2.5,0.4
3.0,0.4
3.5,1.0
4.0,2.6
4.5,5.8
5.0,11.4
5.5,20.8
6.0,35.2
6.5,53.6
7.0,73.3
7.5,91.3
8.0,105.8
8.5,115
9.0,120.5
9.5,123.8
10.0,126.3
10.5,126.7
11.0,127.6
11.5,127.3
