Position (mm),Power (mW)
20.0,27.0
19.8,27.0
19.6,27.0
19.400000000000002,26.5
19.200000000000003,26.5
19.000000000000004,26.0
18.800000000000004,25.5
18.600000000000005,26.0
18.400000000000006,25.5
18.200000000000006,24.5
18.000000000000007,20.0
17.800000000000008,10.5
17.60000000000001,2.0
17.40000000000001,0.0
17.20000000000001,0.0
17.00000000000001,0.0
16.80000000000001,0.0
16.600000000000012,0.0
16.400000000000013,0.0
16.200000000000014,0.0
16.000000000000014,0.0
15.800000000000015,0.0
15.600000000000016,0.0
15.400000000000016,0.0
15.200000000000017,0.0
15.000000000000018,0.0
14.800000000000018,0.0
14.60000000000002,0.0
14.40000000000002,0.0
14.20000000000002,0.0
14.000000000000021,0.0
