Position (mm),Power (mW)
11.0,12.5
10.5,12.5
10.0,12.5
9.5,12.5
9.0,12.4
8.5,11.7
8.0,8.9
7.5,3.4
7.0,0.8
6.5,0.4
6.0,0.3
5.5,0.2
5.0,0.2
