Position (mm),Power (mW)
10.0,8.6
9.5,8.6
9.0,8.5
8.5,7.5
8.0,6.0
7.5,5.3
7.0,3.5
6.5,1.8
6.0,0.9
5.5,0.5
5.0,0.3
4.5,0.2
4.0,0.2
