Position (mm),Power (mW)
2.0,1.5
2.25,1.2
2.5,1.4
2.75,1.7
3.0,2.8
3.25,9.4
3.5,28.5
3.75,58.0
4.0,87.2
4.25,108.5
4.5,117.0
4.75,119.5
5.0,121.0
5.25,121.0
5.5,121.0
5.75,121.0
6.0,121.0
