Position (mm),Power (mW)
25.0,126.0
24.5,126.0
24.0,126.0
23.5,126.0
23.0,125.0
22.5,124.0
22.0,120.0
21.5,109.0
21.0,86.0
20.5,55.0
20.0,28.0
19.5,12.0
19.0,5.0
18.5,3.0
18.0,0.0
17.5,0.0
17.0,0.0
16.5,0.0
16.0,0.0
15.5,0.0
15.0,0.0
