Position (mm),Power (mW)
4.0,0.2
4.5,0.2
5.0,0.2
5.5,0.3
6.0,0.5
6.5,1.1
7.0,2.3
7.5,4.1
8.0,6.0
8.5,7.5
9.0,8.5
9.5,8.7
10.0,8.7
10.5,8.7
11.0,8.7
