Position (mm),Power (mW)
18.0,14.1
17.5,14.2
17.0,14.1
16.5,13.9
16.0,12.8
15.5,11.0
15.0,8.1
14.5,4.8
14.0,2.4
13.5,1.2
13.0,0.8
12.5,0.6
12.0,0.5
11.5,0.4
11.0,0.4
